day,Eggs,Larvae,Pupae,Adults,Zero Locations
388,8788610.693541,426597.559729,452383.987691,472059,3257
389,8817094.505546,422616.157184,449069.277901,481339,3063
390,8673513.122845,422691.124508,455820.181880,489961,3006
391,9031912.718637,423093.491228,412082.923110,498631,2813
392,9420052.538929,429231.657784,391252.781129,499057,2835
393,9913449.343903,432753.328968,354313.221230,495584,2838
394,9494759.317875,430823.386547,335925.030181,486924,3107
395,9420932.357560,428383.550772,320280.123481,477836,3254
396,9376992.553570,428808.268500,323269.680084,466834,3432
397,9011629.776317,426280.196431,346152.574817,457777,3575
398,8316998.443551,420447.538803,401043.517877,454602,3674
399,7784533.272599,406067.999791,395526.237451,459292,3586
400,7758119.786046,402849.419261,385205.834542,461796,3508
401,8416618.913187,411861.437563,389364.358907,462414,3584
402,8853111.187986,422307.715879,406489.311312,464054,3392
403,8597350.282573,419911.438478,410631.077480,468630,3390
404,8481013.147419,416895.121631,407688.123923,473263,3332
405,8908430.245721,419917.682406,383448.870873,476107,3297
406,8585010.098595,418231.859969,379697.216218,475595,3249
407,9149684.626630,426132.990918,390205.222667,473427,3248
408,9612631.533585,432826.996265,390736.551606,473723,3232
409,9298274.572151,430134.159109,392602.778688,474798,3316
410,9167436.031310,429055.910800,399785.206984,475611,3273
411,8872543.733487,424345.600577,392840.521463,477578,3253
412,8689347.853649,419616.481818,387488.616709,477461,3210
413,8617266.682409,420186.413986,399469.348072,477469,3238
414,8781213.474554,423255.719957,414725.774212,479435,3105
415,8567199.412801,421152.261619,424035.848340,483515,3133
416,8374803.750766,416202.698844,418211.430338,488583,3075
417,8360047.874456,414049.933108,399570.570308,492217,3062
418,8361596.325269,411376.582304,368515.813959,492242,2969
419,8831069.580385,418474.830793,352103.433463,486551,3069
420,9367985.523995,422627.765077,330727.595780,478502,3246
421,9370884.255466,428043.749695,330145.416262,469173,3443
422,9176613.068396,426531.005148,337257.591463,460712,3534
423,8551337.877638,415999.185870,324704.009308,454659,3672
424,8179539.667986,410371.602274,333343.624650,447472,3857
425,8200862.731972,408224.981880,339208.378679,441959,3978
426,7863349.472356,407205.839388,364469.623801,439304,4080
427,8273243.810423,412670.668161,390788.158083,440554,4003
428,8053968.168055,411449.434280,413975.939922,445664,3948
429,7993889.351711,410427.093536,429428.061096,453566,3770
430,7597674.703335,406221.020281,463578.479718,462299,3538
431,7725255.185785,404645.711559,461496.214710,476114,3281
432,7991109.162712,408729.734627,466592.118405,487040,3142
433,8543992.085136,414318.086100,442190.262536,497791,2891
434,8580942.011961,416317.293943,408105.926907,502990,2821
435,8613687.762599,417341.524669,383961.952739,502228,2733
